player_name,solo_KillDeathRatio,solo_DamagePg,solo_AvgSurvivalTime,solo_WinRatio
URIMJIGI,1.71,189.89,1012.5,8.59
PuReun,1.01,127.58,1031.21,2.35
DanaLen,2.77,267.9,1041.17,12.96
Oasis__,1.48,183.28,1200.4,5.71
Lauris12341,1.2,149.78,860.91,2.17
gotembro,2.67,232.15,1200.18,25
Rumia,2.86,310.89,1389.42,4.49
yutachacha,4.24,437.36,1307.66,7.32
StyleSeo,1.31,153.45,1082.62,1.33
winnez,2.62,208.41,1406.69,20
liverfool,0.96,119.97,912.21,0.38
AnotherLevel,2.71,281.41,1094.66,8.33
JyuzoManda,2.16,251.34,845.39,3.18
Avenger,5.26,419.4,1193.32,28
PyuL,2.3,230.36,1241.15,9.09
incognitoS2,2.25,252.53,1313.16,0
goomy_bear,0.95,115.78,1185.1,4.5
Hellothere0519,1.39,153.41,1410.92,2.94
